2020-03-02 22:49:25,I'm predicting that Bernie Sanders and Elizabeth Warren will join forces to go up against the Joe Biden + Pete Butt… https://t.co/IOzfJQRgwl,"Los Angeles, CA",
2020-03-02 22:49:23,"Warren was my candidate (and I still plan to vote for her, futile as that's likely to be) but that doesn't make it… https://t.co/k98diPTCLj","Bellingham, WA",
2020-03-02 22:49:22,Whoever takes a victory lap when the Democratic National Convention concludes on July 16 will need every single one… https://t.co/Y8NoomLu9n,"Maryland, USA",
2020-03-02 22:49:20,"@bryanbehar You're not getting it straight.

IF most democrats 'don't want Sanders' then why most democrats are vot… https://t.co/B4Cfn5Bsis",California,
2020-03-02 22:49:20,@josiemad1 @kfairwrites Although i criticized Bernie Sanders on skipping Selma but I have never criticized his mess… https://t.co/69G3xMCQl0,In Every Revolution,
2020-03-02 22:49:20,"@thetambar Bernie Sanders with the kick, STUNERR! STUNNER!! STUNNERRRRR!!! 1.. 2... 3... My GHHAWD, BERNIE SANDERS… https://t.co/wyLW0w9lRJ",Glasgow,
2020-03-02 22:49:20,@ShawnR_Sanders Do you need to lay down? *picks him up in a swoop*,,
2020-03-02 22:49:19,@CantUnlaceME @LA_LaVilla @Shermichael_ @SRuhle It will be voters who don't support him. You can't lump all voters… https://t.co/NFbamzYQ82,USA,
2020-03-02 22:49:19,vote for Bernie Sanders,california,
2020-03-02 22:49:18,I genuinely feel sorry for Bernie Sanders. He takes it from all sides. I don’t know how he does it.,"Cleveland, Ohio",
2020-03-02 22:49:18,@TheyCallMeTomO1 Well Trump as it made with any of them! Biden or Sanders will be easy for Trump!,"Wooster, OH",
2020-03-02 22:49:18,#Sanders and his agenda is supported by only a minority of Democrats. His government controlled Socialist agenda is… https://t.co/6fe1LlMVa2,Ohio,
2020-03-02 22:49:16,@alyssalimp now envisioning your mom talking about bernie sanders,,
2020-03-02 22:49:16,"Here's the thing. If Sanders wins the nomination, he might well have to work with the likes of him, Theresa Greenfi… https://t.co/WuqFPnZhD3","Iowa, USA",
2020-03-02 22:49:16,"@jasonkatz13 @TravisT_FFB I don't think so, no. Anecdotal, but tried selling Sanders for AJB in the one league I ha… https://t.co/wGph0e0uiW",Seattle,
2020-03-02 22:49:16,Barack Obama please endorse Bernie Sanders.,"Los Angeles, CA",
2020-03-02 22:49:15,"Sander’s supporters are the most toxic supporters of a candidate I have seen since ‘78 - with one exception, Trump’… https://t.co/d6Mq9inn1U","Austin, Texas",
