,text
94, it’s certainly not seemed to impact him much thus far steyer might have had more bernie vote… 
95,: reuters : buttigieg to drop out of democratic nomination race day after big biden win 
96,) buttigieg dropped out and homophobia cost him the primary race as a trump supporter unfortunately we have an… 
97,what is the real story of buttigieg's service and time in afghanistan 
98, biden was vp for years he will bring integrity and honor back to the white house i would like to… 
99, got that pete buttigieg smile
100,man dies after years from testicular hemorrhages despite begging the internet for help when mr ate his balls t… 
101,add this trump lie to the over other lies ge’s told trump falsely accuses biden of quid pro quo after butt… 
102,buttigieg and klobuchar prepare to endorse biden aiming to slow sanders 
103, not necessarily that more the idea that obam… 
104,"are the dems shooting themselves in the foot
"
105,obama phone call encourages buttigieg to use his ‘considerable leverage’ amid rumors of biden endorsement: report 
106,pete buttigieg drops out how this could impact the race via 
107,"pete buttigieg is set to endorse biden 

looks like sniffing pete’s hair paid off for you joe🤷🏻‍♂️😏😂"
108,president donald trump accuses democrats of a coup against bernie sanders claiming moderates amy klobuchar and pete… 
109, i said this to my warren supporting friend last night when the sc results were in and… 
110,the corrupt establishment dems & trying to steal the nomination from again bernie… 
111,hey amy and pete samaritan howard stern sanders trump dow jones air force one emily's list zaza spirited away trina… 
112,buttigieg and klobuchar prepare to endorse biden aiming to slow sanders 
113, it always breaks my heart knowing his dad dr joseph buttigieg translated the phenomenal gramsci into… 
114, i think *two* rcvs might be useful to give buttigiegtype candidates (or any governor south o… 
115," incorrect obama did not say that it clearly says that buttigieg ""can"" make a challenge for bernie"
116,imo the moderate dems are consolidating around the candidate least likely to beat trump i think both klobuchar an… 
117,"today’s news cycle:
klobuchar out
joint appearance with buttigieg () to endorse biden
chris matthews resigns
c… "
118,"a vote for warren = a vote for biden = a vote for trump
damn it people are dying from lack of healthcare and the p… "
119, you guys are so transparent a lot of dems can see that bernie just isn’t what we need in… 
120,"predator trump is accusing pete buttigieg and amy klobuchar of committing a quid pro quo with joe biden

🤣🤣🤣🤣🤣🤣🤣🤣🤣… "
121,mayor pete was good for the left 
122,pete buttigieg drops out of presidential race 
123,joe biden just confirmed pete buttigieg will be a part of his administration via 
124,nolte: pete buttigieg‘s failed campaign was built on hate and lies via 
125,interesting piece on how homophobia played a part in pete's defeat 
