,text
88,if you are in a super tuesday state and are planning to vote tomorrow but don’t follow the news closely be aware… 
89,"chris matthews will need a new handel as another deep state shill "" bites the dust""

another one bit… "
90,"this is so stupid
everyone is up in arms about buttigieg klobuchar johnkerry rice endorsing do… "
91,buttigieg steyer klobuchar exit reveals need for ranked choice primary voting 
92,old people turn out to vote all the time berniesanders supportersmake sure you too turn out for… 
93,amyklobuchar drops out of presidential race politics democrats election joebiden getwoke… 
94, thank you for all you do ms klobuchar imho you would have made a great president
95, still waiting on that source about be… 
96, klobuchar was booed off the stage in minnes… 
97,‘i’m proud to endorse biden and so are all of you’ announces pipewaving amy klobuchar
98,how much did the dnc pay buttigieg and klobuchar to scrap their campaigns right before super tuesday and endorse biden like this
99,_barrett do not sleep on klobuchar at hhs presumably about to tell us there's nothing you can not cure with a litt… 
100,watch live: biden holds dallas rally with klobuchar's endorsement via 
101,pete and klobuchar endorsing biden should help with that african american vote right
102,_s i do actually use it because i am actually the typo queen of the universe and it is usually… 
103, there's no question she could but she has done awful so far no ex… 
104, well unlike buttigieg klobuchar and beto she is not counting her just yet nor is she dusting off… 
105,to decision where this election cycle has claimed another past few days have seen steyer buttigieg and klob… 
106,the only “positive” i can take out of o’rourke klobuchar buttigieg and warren stabbing progressives in the back i… 
107,ya think buttigieg/klobuchar can start another argument over something silly at biden rally maybe over best tatertotrecipe
108, _law probably klobuchar
109,"let's make a deal hmmm i see new cars & houses in their future

klobuchar ends bid set to join buttigieg… "
110,joe biden in dallas with senator amy klobuchar | 
111,beto o'rourke klobuchar and pete buttigieg are all endorsing biden they are really out to get us time get to wo… 
112, does joe sastak's endorsement of klobuchar translate over to biden
113, what do you think will happen tomorrow with the new endorsements from buttgieg o’rourke and klobuc… 
114,buttigieg and klobuchar endorse biden in dallas ahead of super tuesday 
115,i disagree on most issues but i will give klobuchar credit for one thing: she would straight up tell us where she… 
116,_milano you are not supporting your fellow vagina owner klobuchar gender traitor
117, he's not been great in debates or even on the campaign trail he does not… 
118," looks like there’s enough delegates available for a path
especially if any buttigieg or klobuch… "
119,my guess is that both buttigieg and klobuchar believe a more centre candidate (biden) will have a better shot in th… 
120,and i just saw a very good argument for why warren should continue running rather than also drop out (leverage at c… 
121,the timing of buttigieg and klobuchar dropping out feels strange to me for anyone that did early ballet voting and… 
122,"okay best vp combos with remaining candidates go

warren/castro 
sanders/warren
biden/klobuchar

tulsi/who are you kidding"
123," klobuchar drops out 

hillary deposed for lies in email investigation 

 chris matthews quits msnbc

and it’s only monday 😹😅😂"
124, biden does like working with republicans 😂 seriously though i think… 
125,biden must have offered a position to buttgieg/klobuchar to drop and endorse
126, i’m bummed; i sent my co ballot in last week for amy klobuchar so does my vote now not count
127," distributor of crap news in ut 

how about u reporting what biden said: ‘all men & women created by… t… "
128,buttigieg klobuchar can keep their nh delegates despite suspending campaigns 
129, buttigieg o’rourke & klobuchar are class acts who put the good of their country ahe… 
130,pete buttigieg amy klobuchar and beto o’rourk assembling like a supergroup of s onehit wonders to drag joe… 
131,"at bernie
buttigieg and klobuchar have both dropped out and endorsed biden something that warren should consider… "
132,"pull dnc push to stop sanders is on klobuchar and buttigieg to endorse biden

supertuesday news… "
133,amy klobuchar believes in universal basic costco membership
134," today:
buttigieg ✅ klobuchar✅… "
135,"of course they do and buttigieg supporters bet he's getting vp and yang supporters bet yang's getting vp
oh and… "
136,watch live: biden holds dallas rally with klobuchar's endorsement 
137, did you see what klobuchar and buttigieg did today you should do that and back the winning progressive
138, klobuchar gets him mn in all likelihood biden will carry pabut kamala would secure ca castro txi get it
139,buttigieg klobuchar and harry reid endorse biden beto o’rourke will endorse tonight 
140,"biden klobuchar beto pete rally in dallas soon

"
141, i step away to do yard work and amy klobuchar suspends 😏
142," him and klobuchar
a day before super tuesday

who tf campaigns for years and drops out the day be… "
143,how many super tuesday primary voters who dont follow politics news / will still vote for ratface and klobuchar i wonder
144,sen amy klobuchar to end her presidential bid and back biden via 
145,that's right klobuchar is going to be there how in the world can he be there 
146,the has proven will not be the democratic nominee buttigieg & klobuchar today cancelled their… 
147, and here i just filed my early vote for klobuchar just yesterday :)
148, i’m sure this was the plan all along there was no way bu… 
149, what will happen is your vote will go down the toilet bc klo… 
150,"bidentexasrally | live now online 
supertuesday joebiden

pete buttigieg amy klobuchar set to endo… "
151,_ housing or secretary of state amy klobuchar
152,"biden wrote the crime bills which disproportionately targeted black people for mass incarceration

buttigieg’s gu… "
153,"klobuchar buttigieg line up behind biden on super tuesday eve 
"
154, with the new endorsements from klobuchar buttgieg and o’rourke i’m almost % positive joe biden receiv… 
155,jeeze get overwhelmed with the world and deactivate for a while and people start dropping out of the race s… 
156, no combs are for salads 
157,klobuchar buttigieg klobuchar all endorsed biden in one day this shit better work against trump
158,biden surges higher with klobuchar buttigieg endorsements 
159,astounding the number of endorsements that have flooded in for biden since saturday they could have endorsed him… 
160, oh for fucks sake you are smarter than that klobuchar is one of the reasons aca passed and survived
161,i guess now we know why they added biden buttigieg and klobuchar's votes together that one time
162," drops out of the race she and are expected to endorse 

klobuchar was… "
163, and ⁦⁩ are allin for bernie they are openly acting like berniebros and will probably not ca… 
164, welcome to what they did to amy klobuchar for a year cancel
165,left wing pundits say that the moderate democrat vote is being split between klobuchar bidenand mayor pete and if… 
166,"president joe biden
vp hillary clinton 
wh chief klobuchar
sec of state buttedge

biden becomes unable to continue… "
167,supertuesday supertuesday south carolina knocked steyer buttigieg & klobuchar out twohorse race now betwe… 
168,biden nabs klobuchar buttigieg support on super tuesday eve (from ) 
169,and now beto o’rourke joins klobuchar and buttigieg in show of force for biden as centrists rally to halt sanders 
170,"buttigeig 
betoorourke 
klobuchar
all sellouts

supertuesday supertuesday thefixisin"
171,amy klobuchar did that put some respect on that queens name
172,this is different from klobuchar and buttigieg who were principally opposed to bernie but hated bloomberg on a per… 
173,buttigieg and klobuchar embrace their neoliberal overlordship and determining for the people that bernie must be st… 
174, _roslyn yah i have been energized by warren and came to a… 
175,pete buttigieg amy klobuchar and beto o'rourke are throwing their support behind joe biden after dropping out of t… 
176,election live updates: buttigieg klobuchar and harry reid endorse biden beto o’rourke will endorse tonight 
177,klobuchar has suspended her campaign but it's a strong campaign suspension
178,it's the day before super tuesday and today: amy klobuchar drops out and it's reported she will endorse joe biden… 
179,biden will drop out and endorse warren but acidently call her amy klobuchar
180,amy klobuchar pete buttigieg rally behind joe biden on eve of crucial super tuesday contests 
181, that is correct maybe a klobuchar landslide win would be comparable
182, as of tonight you've lost klobuchar and buttigieg just put sanders out of it would you prefer biden to warren
183,watch live: biden holds dallas rally with klobuchar's endorsement via 
184, do you actually use grammarly serious question since i just assumed it was for people who are really bad writers
185,buttigieg and klobuchar to join biden at texas rally aiming to slow sanders 
186,having beto buttigieg and klobuchar all back biden within hours of their campaigns suspending and right before su… 
187, i'm voting for she's been one of my choices for a… 
188, i liked klobuchar the most out of all the more moderate candidates she is very forthright in a wa… 
189,"number of amyklobuchar tv ads i saw before today: zero

she dropped out of the race 

number of amy klobuchar ad… "
190,"breaking news:

pete buttigieg and amy klobuchar drop out and endorse joe biden

bernie: 😂 "
191,wonder how much the dnc paid buttigieg klobuchar and beto to endorse biden all in one night 🤔
192,breaking amy klobuchar who dropped out earlier today is reportedly set to join biden at a dallas rally happeni… 
193, klobuchar is also a serious option as a female midwestern senator who is popular with her constituents
194,thank you senator klobuchar 
195,so buttigieg and klobuchar drop out of the race and are immediately announced as rally speakers for biden on super… 
196,buttigieg and klobuchar to join biden at texas rally aiming to slow sanders 
197, i was a harris then klobuchar supporter i’ll support biden and i hope he chooses one of those as vp
198, why aren’t you airing the dallas rally with joe biden mayor pete beto & klobuchar⁉️ 
199,"""buttigieg and klobuchar to join biden at texas rally aiming to slow sanders"" by alexander burns jonathan martin… "
200,i guarantee you democratic establishment pushed for a bunch of candidates to drop out and endorse joe biden to stop… 
201, no offense to pete but unless warren is the nominee i ho… 
202,til i learned that more than / of the votes in california’s primary was vote by mail 😬 curious if biden blo… 
203,"current delegate count shifting buttigieg and klobuchar delegates to biden:

bernie 
biden "
204,watch live: democratic presidential candidate joe biden is expected to be joined by former democratic presidential… 
205, after you exited the race amy klobuchar was my candidate i’m committed to voting blue… 
206,a sizable portion of pete and klobuchar's voters may have been leaning bernie but after the endorsement it's reaso… 
207,i wish we could have had warren booker ticket but well have to probably settle for biden and klobuchar or something
208, if biden can bring you and klobuchar together he's truly the man to unite the democratic party
209,kinda awkward seeing an amy klobuchar campaign commercial after she just dropped out of the race
210,"officially in biden's corner:

beto o'rourke
amy klobuchar 
pete buttigieg
tim ryan
seth moulton

biden… "
211, would you support bernie if he didn’t have the highest senate rating if klobuchar had a higher rating wo… 
212,now that amy klobuchar is safely out of the race i am going to devote myself to making big amy energy a thing bigamyenergy
213,biden lands backing of former rivals klobuchar buttigieg ahead of super tuesday jakpost 
214,"steyer klobuchar buttigieg matthews
what a week "
215,"me: “did you hear amy klobuchar dripped out today”

gf: *long pause* “who”"
216,amy klobuchar drops out 
217,"breaking

rep beto o’rourke (tx) is joining sen amy klobuchar (mn) and former mayor pete buttigieg (in) at joe bi… "
218,there's a good chance amy klobuchar pushes mayor pete off the stage tonight
219,everyone knows im a democrat for life but man we suck ass f klobuchar f buttigieg f biden f bloomberg too also f trump
220,"a tractile forest is loved by mopey teacher
does the reddest ketchup post a creature
has correspondent included a… "
221," pete: beto nice to see you will be honored to work with you as secretary of state
beto: wait but *i… "
222, sorry they did her dirty today the wasserman schultz and klobuchar endorsements should have made it c… 
223, totally agree on that one can see they have been up to their… 
224,"marianne williamson rips buttigieg and klobuchar over biden endorsement: ""they must have read art of the deal"" "
225,byebye: pete buttigieg and amy klobuchar are the latest campaign casualties 
226,joe biden with endorsements from buttigieg and klobuchar is holding a rally in dallas on the eve of super tuesday… 
227,"_smith sounds like you need to have a chat with your man

"
228,"i read a headline today that said ""with klobuchar dropping out only two women remain in the race for president"" and… "
229, what were klobuchar & buttigieg promised to surrender right before super tuesdaythen back biden th… 
230,klobuchar buttigieg to join biden on stage on super tuesday eve 
231,"how much news can you have in one day

* dead from corona virus
*netanyahu won reelection in israel
*mayo… "
232,amy klobuchar and pete buttigieg are uniting behind joe biden’s presidential bid as the democratic party’s moderate… 
233,super tuesday: pete buttigieg and amy klobuchar are the latest democratic hopefuls to end their campaigns but both… 
234,watch live: joe biden holds dallas rally after endorsement from amy klobuchar and pete buttigieg 
235,"

lindsey gibbs gives a live update on klobuchar and buttigieg dropping out of the presidential race"
236,just curious to know from a democrats perspective: what would your response be if you found out pete and klobuchar… 
237, bill recently tweeted that we now know for sure the winner on nov will be one of candidates:… 
238,i'll take and over buttigeig o'rourke and klobuchar any old day of th… 
239, in many polls yes sanders picks up a lot of support from buttigieg and even some from klobuchar
240,buttigieg to join klobuchar at biden rally 
241, so now what if buttigieg klobuchar and o'rourke are in biden's corner is this a lock now
242," ""quid pro quo""
to use the term used in reference to donald trump

""pay to play""
to… "
243,with voters in states preparing to head to the polls for super tuesday joe biden's campaign has steadily rolled… 
244,amy klobuchar and pete buttigieg united behind joe biden's presidential bid on monday as the democratic party's mod… 
245,watch live soon: amy klobuchar who ended her presidential bid on monday is expected to endorse joe biden at his r… 
246,how long before klobuchar and buttigieg discover that the other was also offered a vp position
247, biden will pick klobuchar as his running mate supertuesday
248, throwing support to in dallas is now fundraising for him too texasprimary… 
249,people are hilarious with the ass kicking buttigieg and klobuchar took in south carolina of course they dropped ou… 
250, go ahead and scratch that klobuchar name too
251, to be fair sen warren is running on many of the same issues and positions a… 
252,you can’t convince me they haven’t all had a conversation bernie just been out here exercising 
253,msnbc aired pete’s endorsement love and said they will cut to when klobuchar and o’rourke take the stage 
254,watch live: biden holds dallas rally with klobuchar's endorsement via 
255,breaking: klobuchar dropping out & endorsing biden via 
256,buttigieg klobuchar and harry reid endorse biden beto o’rourke will endorse tonight 
257,sen bernie sanders says moves by biden buttigieg and klobuchar show it’s clear wall street and the political est… 
258," pete: beto nice to see you will be honored to work with you as secretary of state
beto: wait but *… "
259,i guess this is why cnn kept lumping pete biden and klobuchar together in the polls
260,chile buttigieg klobuchar and beto are all endorsing biden tonight biden is running a commercial with obama’s v… 
261,wow with all the big names endorsing biden i thought i would enter the fray and wholeheartedly endorse… 
262,amy klobuchar drops out of presidential race will endorse biden nbc news via 
263,klobuchar suspends campaign plans to endorse biden axios ✊&💙❤️🇺🇸 amy klobuchar 
264,it just hit me amy klobuchar is a spitting image of my landlady
265,klobuchar o’rourke buttigieg assemble them all in your hand to summon 
266,_moonlight klobuchar dropped out earlier today and threw her support towards biden
267," no he said he is picking a woman of colour for his running mate
buttigieg & klobuchar will have posi… "
268," and mike bloomberg is not a democrat he's a republican 

and klobuchar quit too

and… "
269, thanks amy you’ve restored my faith in humanity over the past few months and i was really praying th… 
270,okay buttigieg making sure to endorse biden before klobuchar makes this whole story even funnier 😂
271,this amy klobuchar ad during the bachelor is awkward now
272, i agree but this is who we have right now we could have done better booker… 
273, hey with klobuchar’s and buttigieg’s endorsements i g… 
274, i woke up this morning knowing i would vote for klobuchar tuesday bang now i am ridin with biden
275, very cool shs band sounds great as usua… 
276, pete buttigieg sold out to biden for a vp spot so did amy klobuchar 
277,amy klobuchar ends presidential campaign srnow politics amyklobuchar joebiden
278,i do not understand why bernie did not simply primary klobuchar pete and beto from the left 
279,amy klobuchar ends presidential campaign 
280,this event in los angeles is klobucharbuttigiegwarren supporters’ diverse 
281,"us election: biden gets double bump as klobuchar buttigieg exit 
"
282," it will not

come to your senses man warren's polling badly in all the suptues states even ma steyer… "
283,_ej _it my first thought was klobuchar but then i realized it’s actually rachel dratch as klobuchar
284,"_red buttegg gone
klobuchar gone
chris wallass gone
and hrc is going to have to face judicial watchand its only monday folks"
285,yup seems to me that warren is still in to mess with bernie’s ca numbers and buttigieg/klobuchar dropped out to he… 
286,it’s interesting that the candidates who have dropped out are endorsing biden (beto pete klobuchar) they must no… 
287, he needs to pick someone young and dynamic warren talks to people as if we are all deficient yr olds… 
288,i took part in early voting this morning for bernie and i walked out of the village hall to learn klobuchar had dro… 
289,"pete buttigieg amy klobuchar set to endorse joe biden at event in dallas tx | live
 via "
290,"now on can keep their nh delegates despite suspending campaigns; 
delegates a… "
291, my favorite was kamala harris but shes gone now klobuchar i… 
292,trump falsely accuses biden of quid pro quo after buttigieg and klobuchar drop out 
293, in no way in any one of the seven hells would it be klobuchar
294, shame he and klobuchar would not endorse a winner like warren or sanders
295, _intel everyone who thinks pete and klobuchar voters would just switch over to biden en mass… 
296,"who is sonali kolhatkar she is a prime example why i no longer watch inners i’m over farleft gaslighting 

i… "
297, wrong warren and klobuchar seats would be republican appointees as might vermont
298, i'm going to be choosing between warren and klobuchar tomorrow
299,i really question the decision to drop out so soon i respect that he (and for that mater amy klobuchar) did not t… 
300,buttigieg klobuchar and steyer dropping out is not good for bernie biden is near the bottom of my preferred demo… 
301,ha well played … i see that klobuchar clown had to drop out of the race guess coauthoring the proact & try… 
302,we taped today’s podcast after the klobuchar endorsement but before we had confirmed the buttigieg endorsement it… 
303, maybe instead of asking “who wouldn’t be angry” you think about who couldn’t be angry obama couldn’t… 
304,i just remembered the seattle times endorsed klobuchar even funnier in retrospect
305, hopefully amy klobuchar will be considered for vice president if biden wins the democratic nominati… 
306,"early today amy klobuchar announced that she was dropping out of the democratic primary

i wonder when she gets ad… "
307,_doucette absolutely correct analysis sam they all are individually running for president and before the bigg… 
308, someone should compile all mean things pete klobuchar and beto have said about biden into one video and make that an ad
309,pete buttigieg and amy klobuchar endorsing joe biden as i’ve been saying joe + pete + amy > bernie even if you… 
310, klobuchar buttigieg and o'rourke are spreading malarkey at the biden rally tonight
311, i’m sure biden cut quite a deal with buttigieg and klobuchar to get them onstage in texas tonight
312,"marianne williamson rips buttigieg and klobuchar over biden endorsement: ""they must have read art of the deal"" "
313,"trump falsely accuses biden of quid pro quo after buttigieg and klobuchar drop out

"
314, yes i voted for amy klobuchar i knew there was a risk she wouldn’t still be in the race come tuesday b… 
315,ridiculous that the has clearly threatened/ promised buttigieg and klobuchar to convince them to drop out and… 
316, lol i was looking at this site and also love this article 
317,earlier she told reporters that even though candidates who’ve polled higher than her have dropped out (buttigieg a… 
318,"amy klobuchar dropping out and endorsing joe 
mayor pete dropping out and endorsing joe
beto climbing off his… "
319, klobuchar and buttigieg both dropped out for lack of support tho so as the saying goes big woof
320," ""oh my god jr bernie surrounded by biden buttigieg and klobuchar in the cente… "
321,what happens to early votes already cast for klobuchar and buttigieg what happens to their… 
322,it makes perfect sense to meklobuchar is a progressive not a socialistbernie is better th… 
323,"buttigieg and klobuchar to endorse biden ahead of super tuesday



brokered convention ahead… "
324,i think the dnc just made a huge mistake by having buttigieg klobuchar endorse a corporate democrat through back… 
325,"""the klobuchar news made me decide once and for all to vote for warren would be the best president if we… "
326,"now on can keep their nh delegates despite suspending campaigns; 
delegates a… "
327,"great news for joe biden 
pete buttigieg amy klobuchar and beto o'rourke are throwing their support behind joe bi… "
328,trump says buttigieg and klobuchar 'should be impeached' for making 'quid pro quo' with biden: 'they made a deal' 
329,wow that was quick the moderate wing of the democratic party has coalesced buttigieg and klobuchar endorse biden… 
330,joe biden just took out buttigieg and klobuchar out of the race and their supporting him what no vote for… 
331, the distaste for trump is bigger than our parties' progressive v moderate preference all money fr… 
332,i had to drive to the valley and meet for a job on someone else’s pilot that had been picked up so i know *exactly… 
333,usa in a move clearly orchestrated by the democratic party establishment and their billionaire donors both pete… 
334,"amy klobuchar drops out right before super tue how will this impact voting as well as her future
"
335,new feature best of bumper to bumper podcast march : jonny athletic talks pitino pat kessler talks klobuchar p… 
336,"amy klobuchar drops out of presidential race and endorses biden 

"
337,beto o'rourke joins klobuchar and buttigieg in endorsing biden axios 
338,i believe that klobuchar and buddha chegg and tom steyer dropped out of the race at the behest of the dnc in order… 
339,grandma just called me to say she voted early for klobuchar and sent in her ballot yesterday ahshshshshwb
340,"looking for america’s dream team

joe biden president or bernie sanders
kamala harris vp
adam shiff ag
elizabeth w… "
341,as klobuchar drops out bernie supporters call on failing elizabeth warren to end her campaign… 
342,and it is never so simple to assume voters' second choices based strictly on where their first choice was aligned p… 
343, petie was uber cute i'll miss his pretty face i feel kind of sorry for klobuchar well maybe not… 
344, not at the fact that buttigieg klobuchar and ried all dropped out and are endorsing joe biden
345,_feldman it really is not premature she has the same demo's as buttigieg & klobu… 
346,like seriously maybe if it was just klobuchar or something but her pete reid and beto just randomly the day b… 
347,shocker not 
348, biden buttigieg klobuchar o'rourke the political avengers are ready
349,"damn buttigieg klobuchar beto & clinton

the loser squad going hard huh "
350, i bet you'll see klobuchar endorse sleepy joe tomorrow bernie has got to know he is getting screwed over again
351,seriously does camp even welcome this lol he’s so late hasn’t been successful klobuchar & mayor pete… 
352, just heard they are expecting klobuchar to endorse biden in dallas
353,biden buttegieg klobuchar beto and hillary are all gonna conjure up a bernie effigy and mutilate him julius caesar style tonight
354,"the people who represent the % coalesce torepresent the %

"
355, hard no on biden and klobuchar too moderate the other are fine
356,election day : joe biden nabs amy klobuchar pete buttigieg backing on super tuesday eve… 
357,i wonder what kind of deal klobuchar & buttigig made to drop out right before super tursday⁉️bet they both wheeled… 
358,whatdya think pete and klobuchar were given in exchange for suspending their campaigns and supporting biden
359, but maybe i'm wrong maybe she gets some votes from pete and k… 
360,pete buttigieg and amy klobuchar are endorsing their former presidential rival joe biden 
361,watch live: biden holds dallas rally with klobuchar's endorsement 
362,election update: klobuchar’s exit boosts the odds no one will win a delegate majority 
363,so dropped out partially because her camp was worried she would lose her home state to … 
364," thanks for your 
valiant efforts senator klobuchar i actually wanted a ticket with you and buttigieg… "
365, mayor petey dropped out one day prior to super tuesday to boost biden he threw his early voters under th… 
366, more pushback from you and martha this time which was good it was hands off with amy kl… 
367,i never bought into the whole amy klobuchar phenomenon i knew it would go away like the ciabatta sandwich at wendy… 
368, it looks like cnn and msnbc might be covering it i did however find this earlier today in case t… 
