,text
95,🇺🇸🏦🌈🔵listen millionaire bernie sanders : why we do not have medicare for all and other countries do well that's bec… 
96,_ford seriously the bernie bros have completely turned me off to bernie sanders they're doing more harm than good
97,what a little bitch i mean sanders not warren 
98,_malaska i % noticed a warren/sanders difference in preference between friends who are work colleagues and… 
99, @_sjpeace_ “i’ve cast thousands of votes including bad votes” mr sanders said “that was a bad vo… 
100,bernie sanders is just as unhinged as trump is
101, polling suggests that's false it's possible that her dropping out at this poin… 
102, the reality is shaun king can’t go down to richmond selma greensboro or columbia and… 
103,"consider anfifa and the 'bernie bros' & sisters
what sanders’ success tells us: authoritarians are alive in america "
104,"sanders rolls out new ads hitting biden touting obama
this is making things ugly trump loves you bernie"
105," _zatarra love the snark

just sayi… "
106,/ as the race narrows & biden & bernie take their places in the front i urge supporters of either camp to think… 
107," really he spoke to her did he send her a snake emoji 
 do not drop out before the next debate &… "
108,“i like joe joe is a decent guy i do not want this campaign to degenerate into a trump type effort where we are a… 
109,_popoli also this
110,i realize how this sounds in the current environment but if wants to win for his movement instead o… 
111,idk if someone said this yet but young bernie sanders he could get it
112,an awful lot of these when reviewing sanders’ voting record he did not vote way more than he did easy to spin whe… 
113,"he should know the more voters learn about ma the more they oppose it

really this is strategy look even more l… "
114,sanders says he did not know that had dropped out
115,biden is going to win the nomination bloomberg’s supporters will break for biden there’s no chance they go to san… 
116,joe biden wins maine adding to former vice president's super tuesday victories 
117,"warrendropout has nothing to do with sexism and everything to do with uniting progressive dems against trump 
it’… "
118,sanders wins california presidential primary as biden notches southern victories 
119," lol
nothing other than ""being bernie"" is good enough for you ro… "
120,for most sanders supporters it seems they're literally just learning how the system works your guy does not always… 
121, and the second he becomes less convenient than another socialist or progressive option i am done with bernard sanders
122, except that everyone is sh… 
123, are there any states going forward other than oregon & washington where sanders would be favored
124," ""thanks to sanders they are not fringe ideas at all anymore""

sure they will never happen but they're not fringe"
125,if bernie sanders to leave a trail of death in our path” or “kenpom no
126,there is at least one striking similarity between bernie sanders and donald trump: both show no desire or inclinat… 
127,"joe biden wrote the crime bill that mass incarcerated black and brown people 

bernie sanders believes that o… "
128,sanders speaking live at press conf says it's first he's heard of bloomberg dropping out and endorsing biden
129, you can always prove me wrong by sanders winning the nomination good luck with that
130,"i cant afford health insurance so i hope bernie sanders miraculously wins the election 

highly unlikely though so i also hope i get rich"
131,sanders supports rule that requires votes to pass a senate bill dems have no shot at winning seats odds a… 
132, thats to be expected they did that with sanders & it didn’t stop people from supporting him y… 
133, that's fine if warren is gearing up to endorse sanders then we should all stop the vitriol
134,"_aria_blooms i'll only vote for sanders if he's the last one standing 

my vote will be cast for 
in… "
135,asked about bloomberg dropping out of the race this morning sanders says this is the first he's heard about it (really) supertuesday
136, warren got screwed by center squeeze most voters like her but the overwhelming majority preferred… 
137,been saying it for years sanders has a rabid support section but when its not against multiple candidates his … 
138,neon deion prime time sanders one of my favorites of all time 
139, i hope you can get poc to turn out for him if he gets the nod personally i have my do… 
140,_train i think sanders have some good intentions with the taxes and all but i do think he will have too many… 
141," short answer: yes
long answer: she can ""endorse"" sanders per my reading of the rules she cannot do… "
142,the chicago suntimes has learned that sanders could be holding a rally in chicago as early as this weekend biden… 
143," ""sanders’s public comments entertaining the idea of a primary challenge… "
144,interesting that bernie sanders did not know bloomberg dropped out of the race before his pm press conference he l… 
145,sanders wants to tax the hell out of the middle class and all small businesses he wants to close all prisons and d… 
146, actually i was happy to hear sanders say he wanted a serious debate and not a trump… 
147, i do not know this rant is not really convincing me to vote for sanders these people have terrible political instincts
148, the one thing i hope the most is that the sanders voters do not sit out … 
149,bernie sanders says he just now heard that bloomberg dropped out 
150, establishment to me implies those who are fighting to maintain the status qu… 
151,_ not a chance if sanders is the nominee i'm voting for trump period
152, _slick _synthia no doubt the democratic party needs a bernie san… 
153, bullshit sanders spent the entire time attacking joe biden during his press conference… 
154, _vids its a figure of speech man i support most of what sanders says he would do i am just sayin… 
155, i wonder if they really are who they say they are linguistic tells are often more acc… 
156,"@_celia_bedelia_ to be fair sanders is jewish so it would still be a first for america
but it would have been ni… "
157, let me first say it’s not blind and it’s a little illinformed to make such an as… 
158, cheater brazile puts her two cents in on anything republican on fox telling them to stay ou… 
159,"oped: hey folks bernie sanders won’t live forever
 "
160,bubbling in benard sanders yesterday gave me an adrenaline rush ngl
161,bernie sanders also said that he and joe biden are friends and respect each other they just see the way to battle… 
162, if biden is smart do not agree anymore debates with sanders and townhall too go lay lo… 
163, what stances did trump and sanders share that would make a sanders voter go “i’m voting for trump” for… 
164,old people who fear socialism listen to tv commercials and talking heads on tv if the dnc paid for talking heads a… 
165, the reason for this is that in most other normal parties joe biden and bernie sanders… 
166,i'll try to say this in the nicest way possible: warren got my vote because i sufficiently trusted her technocratic… 
167,she asked about what free college would do to military recruitment this seemed to resonate also brought up servic… 
168,bernie sanders through the eyes of your crazy uncle via 
169, deion sanders has to be up there as well
170,if your state hasn’t done its primary yet remember bernie sanders doesn’t care about black people
171,bernie sanders says he spoke with elizabeth warren today and that she is assessing her campaign in speaking sande… 
172, was there also zero evidence that biden could dominate super tuesday sanders was taken by surprise by b… 
173, oh stop with your tough guy warfare nonsense you went down with a thud and sanders will do the same
174,sanders was asked if he still things the delegate leader should be the nominee at the convention he says yes but… 
175,note that liz dropping out and endorsing bernie would not put us ahead (at this moment) and also note that of cour… 
176,"bernie just was asked about bloomberg said he had not heard bloomberg dropped out and was backing biden ""has he dr… "
