,text
92, bernie sanders has introduced… 
93, i sound like amy klobuchar on repeat with that point but i really do believe it
94," i am a man & i voted for hillary clinton in 
i was really hoping to be able to vote for amy klobuch… "
95,facetimed with my newborn niece and my sister just now and my niece was utterly transfixed with amy klobuchar on tv
96,_sam _melbin biden accused him of ageism then said he'd let voters decide if he's in cognitive decline… 
97, _ my dad and i were thinking kamala as ag klobuchar as vp warren as treasury buttigieg as d… 
98,klobuchar won a ton of rural counties for not even being in the race
99,"confirming that the fool does not know what the word impeachment means

"
100," never suggested that klobuchar would earn anywhere near as many delegates

but sure… "
101, yep i'm still hoping that biden sees fit to put warren in as vp harris… 
102, i have the cabbie picked jill biden for secretary of education even though whoopi… 
103,_brian oolong keeps tweeting “post feet” at klobuchar
104," she should be
the best candidates were women
we had harris and warren would have been happy wi… "
105,hands down the best person would be amy klobuchar followed by kamala harris however i would love to see mayor pet… 
106, please add amy klobuchar
107,__elliot _cohn seems like a strong warren endorsement would help sanders tremendously… 
108, i will but gloppy was klobuchar or bust
109, because biden didnt fire anyone up klobuchar buttigieg and beto fired everyone… 
110, i do not think he'll pick warren it'll be kamila harris or amy klobuchar starting t… 
111,if joebiden names klobuchar veep 
112,_kanefield i voted for harris because she’s the most progressive but there is an argument for klobuchar for her midwestern pull
113, hands down the best person would be amy klobuchar followed by kamala harris however i would love to… 
114,warren not dropping out and endorsing bernie klobuchar and ratman endorsing biden people somehow thinking biden w… 
115,amy klobuchar ending presidential bid 
116,amy klobuchar experiences burst in momentum and campaign donations after strong debate performance… 
117,prog/bernie case for warren staying in seems clear no maximize prog delegates via % of ew vote (likely🔺post… 
118, biden got buttigieg and klobuchar's voters
119,_siskind i’m sorry but this year is unique we never had a president like trump i’m still cryin… 
120,_v_min actually i think he’ll make klobuchar his vp pick and his senile old ass will i… 
121, if warren dropped out like klobuchar and pete is not it likely that sanders wins a few more states i… 
122, _workers _org which is why we need to call out our p… 
123, for example: in the first debate beto butigeg klobuchar all expressed s… 
124, that’s enough training to perform brain surgery on whoopi goldberg
125,klobuchar ends bid set to join buttigieg in biden endorsement ahead of super tuesday 
126,klobuchar ends bid set to join buttigieg in biden endorsement ahead of super tuesday 
127, klobuchar you were not known you are now you are young yet you’ve shown maturity maybe next electio… 
128,"stacy abrams be good 

i was thinking amy klobuchar "
129, thank you senator klobuchar for showing america what a truly selfless person does what’s best for the… 
130," biden/klobuchar (to secure midwest) or biden/sanders to consolidate the left 

it’s a woman or bernie"
131, dr jill biden did my lapiplasty
132,i would have wanted klobuchar or warren it’s time for a woman that said joe is indeed honorable and decent so i… 
133," 
asking sen klobuchar if she had discussed with vp biden a position in his administration was pretty tactless

just saying"
134,_sandoval when aoc ilhan omar & rashida tlaib young dem stars pu… 
135," good choices

my order of preference would be:
biden/abrams
biden/warren
biden/buttigieg 
biden/klobuchar"
136, his campaign even got more votes from the grave than klobuc… 
