,text
102, because she’s truly the best candidate less polarizing than bernie it should come down to warren v b… 
103,contrary to the dated takes from sexist relics like chris matthews (best wishes) & donny deutsch warren’s ‘stride… 
104, translation: warren please do not help bernie
105, typical warren racist
106,vote for whoever you want but i personally think warren should've dropped out when she ran out of money rather than… 
107,the 'truth' about elizabeth warren 
108," warren dead ender

going to vote fo… "
109, you know damn well warren has zero chances of winning you are actively sabota… 
110, i'm a bernie supporter but i fe… 
111, i’m sticking with warren a little longer but if it comes down to sanders v biden then i am sanders all the way not even close
112,ahh and let’s not the fakest bitch of them all warren is 
113, i am still team warren she is the best candidate with the least baggage the oppo research trump use… 
114," totally agree

 and all others shut up with… "
115, i like bidenwarren with harris at ag bloombergcommerce steyert energy buttigiegveterans affairs sa… 
116,if you stand with warren please consider doing the right thing and voting bernie tomorrow so we have a better chan… 
117," warren
 biden
 whoever gets the nomination"
118, it's not about his supporters being annoying it's about *some of them* threatening to hand t**** a… 
119, a vote for warren is a vote for warren this is the p r i m a r y and only state have voted
120, i think warren would filet trump (eg bloomberg) and i think it’s a fantasy that bernie can woo former tr… 
121," ""you're a sexist if you tell warren to drop out""

(next tweet)

""tulsi gabbard amirite lmao"""
122,sanders/warren or biden/drop outpete 
123,choosewarren warren is not bernie they might agree on most of the important policies but not on how to lead chan… 
124, _for_warren if warren had been steward of gondor we would not have had all that unpleasantness
125, armed with that knowledge wouldn’t you as a person who cares abo… 
126,"also if biden becomes the nominee is it warren’s fault for not dropping out 
personally i don’t think so let her… "
127,"i'm disgusted warren has not dropped out and supported bernie yet

there's really just one thing to say… "
128, yeah warren has won as many delegates in the last three states as i have
129, opie he’s been rough for awhile he was extremely confrontational with warren after debate equated san… 
130,"warren's hearing aid bill reminds us of her long top donor medical device lobbyists: brown rudnick
medical device… "
131, i hope pelosi endorses warren
132,_donna nope to joy she’s apparently working for elizabeth warren 😡
133,_txt (if it was not clear she's voting for warren lmao)
134, warren should drop out
135, trump is making fun of warren it's actually pretty damn funny she can not win
136, every vote for warren is a log on the fire of “bernie’s not electable… 
137, _farmer i agree i thought warren should have went all in when pushe… 
138,"i'm sorry but both sanders and warren are too angry for me
want to make chage
awesome 
but would you *please s… "
139,me waiting on warren to denounce ice and apologize for lying about having native heritage: 
140, warren is not progressive though
141," when you say ""legitimately"" a democrat; what does that mean

because you kn… "
142,amy and pete drop out (helping biden) but warren (whose departure would help bernie) carries on classic exci… 
143,bernie and warren will mop up bloomberg and biden in the next debate yet i worry about warrens loyalties
144,_sam bernie is the real deal i've got too many questions about warren warrenendorsebernie
145, what states will warren win
146, warren i used to support you but obviously you don’t care about progressive ideas otherwise you would endorse bernie
147,whatever let the warren dumbasses keep throwing their “no states have voted yet” tantrums for the day after tomorro… 
148, _affect this frustrates me no end two small caucus states had an outsize influence on the ele… 
149, soon e warren
150, _chercrew … 
151,"_al lmao wut you think trump is a masterful debater that's really funny

biden may seem… "
152, he was sexist towards elizabeth warren and then someone he sexually harassed was inspired to say he did it
153,if biden’s the nominee he loses to trump bloomberg and warren can’t beat him either sanders is the only candidat… 
154,emily’s list endorses elizabeth warren for president | 
155, ex: without warren in the race chris matthews might still have his job
156, ya bernie sanders and elizabeth warren
157,@_woifgang just grateful we didn’t get a warren/khive merger
158,maybe we could have a copresidency warrensanders & make stacey abrams vp anyone 🦗🦗🦗🦗 🤷‍♂️seriously though v… 
159,bernie sanders campaign’s push to secure massachusetts and maximize his share of its delegates has surprised so… 
160, you are too nice warren close she voted for reagan twice case closed can you spell opportunistic attack dog
161, bernie has never ''slammed'' warren it's the opposite
162, warren is far from the best just like her little lie on the harvard application took the spot away fr… 
163, mark my words elizabeth warren betrayed progressives in she’s soft on her principles she is pa… 
164, i’m a democrat and i’m pragmatic there is no pathway for warren to win the nomination biden it is
165," _teresa exactly amy had no path and warren still does

you should r… "
166, why would bernie sanders at this point want to take any delegates from warren would not he instead want… 
167,bernie supporters making a “if warren can’t win don’t vote for her” plea is the actual definition of irony
168,"because representation only matters when it's convenient

"
169,elizabeth warren is the only candidate that can flip the scriptcnn
170, warren will not beat trump i like her but it will not happen biden is the one simple as that to… 
171,anyone who thinks a pete or klobuchar type candidate can beat this guy is delusional he rips warren as well and y… 
172,"endorsements current candidates have received (or are receiving) from former rivals:

biden: moulton ryan kl… "
173,"hmm 
wonder if this had anything to do with his impromptu exit
like warren i had my own sexist runin with chris… "
174, i’ve always been a warren girl please consider throwing your support her way thanks 😀
175, we love elizabeth warren and she would be a perfect vp nominee for bernie
176, % the party dictated all of this klobuchar was at her rally hrs ago pete won iowa sanders is wi… 
177,jesus fucking greasy crisco christbait elizabeth bernie jr warren has no path
178,"warren refused to endorse bernie in so she will absolutely not in she has support of many ""progress… "
179,here's what i've seen from the warren campaign re: communication i cannot wait to see this kind of competence comi… 
180, and about the democrat bashing: i like when he does that i like when warren d… 
181," this was written by a bernie troll 

warren supporters aren’t this vindictive"
182,and i love warren she is my nominee but she don’t have a chance
183,everyone is real quick to shout sexism at critiques of warren which is a factor but how about the fact that she u… 
184, and also where’s this warren attacking/distancing narrative coming from is it only that she has th… 
185,he bulldogs women and hes embarrassed himself multiple times apparently elizabeth warren was the last straw but he… 
186, she's only gotten delegates what universe are you all living in where she's… 
187, you forgot about the qualified and amazing candidate elizabeth warren it’s time for women to support other women
188,"she is electable when you vote for her

so vote warren 

 warren supertuesday"
189,if you think elizabeth warren would be the best president you should vote for her now she’s electable if you fuck… 
190,_aria_blooms the establishment goal is biden that means they have to destroy bernie which in turn mea… 
191, why not elizabeth warren 
192," wow lots of bernie trolls here

 i think it's only fair to get a call to drop out and endor… "
193,_benson too true i'm voting warren but i would not vote bernie tomorrow if she dropped out
194, if you like both shea you have to vote for the one who can win the nomination and that’s bernie berni… 
195,"tv producer: i’ve got people at a bernie rally

network: dear god no

producer: warren she’s doing

net… "
196, warren's intelligence compassion and ability to turn progressive plans into action does see… 
197,hard truth: bernie sanders candidacy is the best hope for the policies that warren supporters want to be able to ov… 
198, __warren possible aggravation of earlier shoulder injury
199,_ how so this is not even the case cuz bernie's policies are to the left of warren's also there's the fa… 
200, sure have a look at past twitter posts of some bernie supporters pl… 
201, if everyone who thinks warren would kick trump's butt and make an excellent president would just vote for… 
202,sen elizabeth warren (dma) is promising to reinstate welfaredependent legal immigration to the united states ta… 
203," then help me decide 
my candidate klobuchar dropped out texas primary is tomorrow i need to decide… "
204,i’m not voting for warren because she’s a woman i’m voting for her because she’s the best candidate with the best… 
205, ms warren if you don’t become president please stay in the senate you are so greaty needed there
206,bloomberg fail massive bernie rallies warren super pacs dnc vs sander via 
207,a vote for warren is a vote for warren not for another candidate & if you want to vote for her but because you thin… 
208, the entire list of candidates took turns bashing bloom hardly was warren herself anyho… 
209," the two wings i see are:
 the practical liberals who know how to get things done biden and warr… "
210,can the us get over the fact that warren is a woman and get behind her how tf are we not sick of old ass white me… 
211, the fact that the only thing that kept them from uniting behind bloomberg was warren shitting… 
212, we've just gone from a crowded field where her signal was being drowned out to a way contest betwee… 
213, trust me no one in their right mind is buying that line of bs
214, not just warren other women have come forward; demeaning and insulting women is something he's been doing a long time
215," 😂🤣😂🤣😂
pete is not progressive warren is only p… "
216, after his interview with warren where he was trying to take bloomberg’s side who allegedly… 
217, i'm voting for warren but she needs a big win on tuesday
218, psst it's cause warren is not a progressive she just did one good thing
219, the reason was not announced maybe it had to do with the blowback from the warren interview
220,bernie: if it's not clear from the above i think bernie has a great vision and message i just dearly wish that hi… 
221,_r_sanders so then can i use that excuse as to why i do not support warren because i'… 
222,this gives me pause ultimately the points i make above win out and it's only fair that warren be able to stay in… 
223,"counter argument: ""if you believe bernie hurt hillary last election could not have that been the tipping point leadi… "
224,drucilla is an actual intellectual warren cynically pretends to be but is not interested in examination or pursui… 
225, literally just saw a thread of people saying how warren wasn’t progressive under a post about how… 
226,in the same way i hope people will see there's a real enthusiasm for an intelligent woman candidate and the things… 
227,in case there’s any confusion a vote for warren is a vote for biden progressives choose wisely
