,text
109,since people are questioning me for saying i'm a far left liberal because i support biden here are my test results… 
110,_henderson yeah people hate/ignore him but knows his shit he was the only one who beg… 
111, not just his corruption but his repeated mental problems show biden is unfit for any public office
112, _ warrens is still the most well rated biden wants a public option that is n… 
113, no struggle here biden will not beat trump i can see the debate between biden &… 
114, can you fathom how much the media will further embarrass i… 
115, the dems will force biden as the candidate and michelle obama his vp if biden wins they will declare… 
116,"for the people who vote for biden
you will not be voting for him you will be voting for whoever the swamp picks… "
117, right now establishment dems are determined to give the nomination to a man with dementia trump and biden… 
118,the democrats running biden will be the same as when the republicans ran mccain out there
119, _joseph catch : biden does not qualify there's only one candidate on the left
120, _actual not truethe majority went to biden petetobiden
121,_army i say this as someone who likes joe biden as a person but he’s not my leader he does not have a vis… 
122,bernie criticized biden's racist crime bill in — the political vigi via 
123,warren or biden sorry do not trust bernie 
124, you do not support warren you support biden
125, the dead cat bounce was intra day wednesday morning after mon and tuesday last wee… 
126,ok teampete time for a real talk this hurts badly many of us will not be ready to transfer our energy to biden ye… 
127," local guy on the res's pirate radio called it a ""political decapitation"" msnbc cnn etc are memory ho… "
128,if biden gets it can obama be his vp and we get more years of bromance memes
129,if we lose in it’ll be a repeat of if biden wins in it’ll be a repeat of years of american imperialism
130, meanwhile biden is running for us senate hope he gets his wish
131,half of mayor pete's rhetoric was about ushering in a new era of politics and changing the old guard the fact that… 
132,this is an idiotic response of course they r going to use this if they think biden is a threat why don’t u bac… 
133,"i'm afraid that the ""dems"" pushed and out to pave the road for biden all over again"
134, it’s scary anybody would vote for biden he is totally clueless
135, i hope biden beats sanders
136,_gamer _in_nc that’s why you need a candidate that will get them to vote s… 
137, yep it's so obvious trump is saying nothing abt biden right now bcuz he's got both barrel… 
138, the first response from biden kill all low & middle class people protect the trump tax cu… 
139, so only the democrats are allowed to campaign joe biden thinks tomorrow is super thursday
140, agreed they all seem to think biden's the only sureshot yet there really is not any… 
141, this is fair issue to debate i agree we need profound change first first change: remove morally dise… 
142, drop out support biden
143, in the wake of buttigieg & klobuchar dropping out biden and bloomberg also bowed out today making trump th… 
144, it’s all bullshit biden is not the answer and yet backdoor deals are being made to get him to the top 🙄
145,chris matthews is dropping out of msnbc to endorse joe biden 
146, biden because bernie will never beat trump and he'll lose the house for us forget ab… 
147, the stock market surged bc of win they hope you hurry up and get out they love biden
148,_im we have little to no control over what warren does but we can inform older voters (biden's base) abou… 
149, i still want to hear about the polls because we can speculate where each of the dropouts votes go… 
150,great time for everyone to line up behind biden 
151, lol he is too chicken to debate joe biden he’s too drugged up and dumb as a rock like you
152, i agree with you in general but i think biden would do better than you fear he's been pulled som… 
153, a vote for is a vote for joe biden and we all know it
154, if she takes her campaign to a contested convention it will be at the expense of the pro… 
155," what is broken is your actions are indirectly assisting biden

if your only campaign slogan i… "
156, i never said that biden will win nc (bernie will do worse in nc th… 
157,"biden is just the vessel to slide crooked hillary in 
@ potus "
158, i want biden to win the presidency just so i can watch him visit england and grab and sniff queen elizabeth
159, / percent() of the convention delegates that democrats will vote to award r… 
160,see here's the thing i have no idea what joe biden's position is on marijuana and i do not care and nobody else sh… 
161, biden is one sick puppy
162, biden does not even know what office he's running for😳 set up for hillary clinton vp… 
163,"let me summarize: hey biden cut me a deal and i will put my support behind you

each one of these dems is lookin… "
164,when every never trumper and libertarian asshole is happy that everyone is congealing around biden that's a sign t… 
165, i think it’s hilariouslet the deep state machine show the world exactly who they arebiden is n… 
166,"colorado _inc poll (//):
sanders %
warren %
buttigieg %
biden %
bloomberg %
klobuchar %
othe… "
167, you should feel dread even if biden wins his empty politics cannot stop the discomfort and… 
168, what i miss he was right last time did he say biden can’t win because he can’t
169, i was % for amy but tomorrow i will be voting for joe am… 
170,michael moore said on that south carolina is not representative of the nation to downplay biden’s victory s… 
171,minnesota sen amy klobuchar ended her democratic presidential campaign on monday and plans to endorse rival joe bi… 
172, _ biden was a joke when he was vp but now it’s just getting sad
173, then they really are dumb because there will be no biden administration 🤣🤣
174,a joker'd convention where warren takes out biden
175,frustrated with my boomer parents for voting for biden and bloomberg
176,i’m so insanely frustrated that buttigieg and klobuchar endorsed biden i get that they don’t want to support berni… 
177, eh more so than biden but doing better than p much every other candidate w black voters also does by… 
178," you’re literally basing your analysis on nothing

you lite… "
179," joe is getting dragged right now for a flub on ""super thursday"" and a botch of quoting constitution… "
180,_hennessey _blue_dot well since hunter biden isn’t running for president i’ll just stay ridinwithbiden
181, get kamala on the biden ticket
182," nc is a toss up/lean biden va is lean bernie/toss up 

as someone who lives in nova though i'll beli… "
183, would really like if bernie voters help vote trump out of office if biden is the nominee & vice versa… 
184, yet bernie is ahead of biden make it make sense
185," the real cruel part is that they are going to have to endorse biden 
lol 
all aboard the titanic"
186, now it's more than obvious a vote for warren is a vote for biden/trump/status quo
187," omg trump is going to destroy biden 

still think bidenbeatstrump "
188, people will not get out to the polls if it means their situation is not going to improve a biden candi… 
