,text
98,since i live in connecticut my tuesday wasn’t super just average even though my (slightly) favorite candidate le… 
99,thankfully no fatalities in the fight for this endorsement supertuesday 
100,"tennessee had such a devastating hours

should get redo voting day

supertuesday 
joebidenforpresident"
101,who the hell is out there voting for bloomberg supertuesday
102,"i plan to votelikeablackwoman when my primary comes up (//)
supertuesday has shown me so far that bi… "
103,_sellers i’m not sure why though this black voter support is riding off obama’s… 
104," okay it’s time for me to go to bed now 

good night everyone i hope you all are happy with the… "
105,what the fuck is a county supertuesday
106,pocahontas is getting smoked in her home state of massachusetts what does she need a smoke signal get out… 
107,whoever is responsible for berniesanders black voter outreach should be looking for a new job tomorrow oof… 
108,elizabeth warren is a disgrace to progressive politics she has destroyed the biggest progressive chance america ha… 
109,"if you are in line at the time of closing you can still vote
don’t let anyone tell you different… "
110," thanked massachusetts from michigan tonight

she will not be dropping from the race after tonight 

supertuesday"
111,"congrats to everyone who voted for 

i hope you all know that trump will be reelected in november and you… "
112,honestly i have very little skin on this game i would gladly vote for any of these good people over the president… 
113,are you exhausted of being blinded by dangerously bright led headlights if so please sign & share your petition… 
114,"supertuesday 🔥 

if y'all do not vote dont be on your social medias complaining"
115,the demorats are working hard to make it easy for to win by landslide kaga trump maga… 
116,bloomberg should have invested his half a billion in fighting coronavirus rather than a lackluster presidential ru… 
117,the msm is deliberately calling contests for biden immediately to discourage (suppress) voters in western states wh… 
118,one precinct in new bedford ma has biden way ahead second was bernie warren forth behind bloomberg… 
119,serious question: did everyone else have just a bubble for trump and the other bubble saying other writeitin tha… 
120,"""if you're standing in line to vote and you think you will not make it to the front before polls close remember by l… "
121,remember when all the bernie supporters were trying to tell us joebiden voters we need to… 
122, did bloomberg lick the food coronamike coronaoutbreak supertuesday
123,i hope you all went out and voted 🗳 scoobydoo supertuesday supertuesday 
124,waiting patiently for california & texas results supertuesday supertuesday 👀 
125,the american samoa electorate post bloomberg primary win: supertuesday supertuesday 
126,come on guys the mood is too somber too early got some big states to go and lots more delegates up for grabs we… 
127,hey why do you only send primary alerts when biden has a victory supertuesday
128,go vote supertuesday 
129,settling in for a long night watching supertuesday coverage
130,"and the winner of twitter today is

 supertuesday texasprimary virginiaprimary minnesotaprimary… "
131, leading in tx with coming in nd supertuesday supertuesday
132,"

biden leading in key states click the link for more info and join the discussion supertuesday supertuesdsy"
133,sexism is alive and well on supertuesday
134, debates and speeches that have had everything and now one chosen for its proposals that can improve the… 
135,the line is so long in westhollywood weho at plummer park there is no way to even see the entrance and… 
136,just so you know who you're voting for 😆 supertuesday supertuesdayresults 
137,first time voting votingday supertuesday 
138,"i feel like the elevator music on the livestream is ideaand i don’t know why
supertuesday"
139,"virginia democratic primary 

✅biden %
sanders %
warren %
bloomberg %

% of precincts repo… "
140,"too close to call 

real votes texasprimary:
 %
 %
 %
 … "
141,if young people actually voted joe biden would get nowhere near the democratic nomination supertuesday
142,if would have done the right thing and dropped out/endorse berniesanders the progressives would have show… 
143,"i know one thing today has proved:

my twitter peeps are smarter have much better commentary and are funnier than… "
144,so another old white guy is going to win electionday supertuesday 
145, hypocrites period their own populous does not see it or does not give a crap 🤦 supertuesday
146,"i love when a pie chart adds up to 

msnbc supertuesdayresults supertuesday "
147,yes rachel preachstay in lineget to the pollsit matters don’t take this for granted supertuesday
148,"motherfucking old white men 
supertuesday supertuesday"
149,huh biden won with % reporting get real supertuesday 
150,the democratic party establishment is killing bernie sanders🤬😭 supertuesday
151,"breaking out the vodka 
supertuesday supertuesdayresults supertuesday bernie ivoted berniesanders"
152,"yes thank you to all poll workers and election volunteers
democracyinaction
supertuesday "
153, watching the results of supertuesday she’s still running 
154, only getting just over half the vote in vt should worry the hell out of them supertuesday
155,~% of the democratic supertuesday vote is going to dudes who will turn before so much for fresh ideas
156,tonight’s supertuesday can really be defined by vote splitting
157,"bernie's pitch:

every american has a right to healthcare and a living wage

biden's pitch: 

i'll keep things bas… "
158,i have no words for what the unmasked oligarchy is doing to bernie and to % of us none now i see how mlk mal… 
159,amazing only + million dollars and you too can have delegates in american samoa looking forward to the mult… 
160,i predict warren & bloomberg drop out and endorse biden tulsi drops out and endorses putin supertuesday supertuesdayresults
161,bloomberg needs to drop out supertuesday
162,warren cant even contest in her own state warren supertuesday 
163,i'm sorry i'm not even a sanders supporter but the idea the dnc and a large chunk of their voters are willing to… 
164,"well cnn & their 'establishment' have dncrigged this vote so far

warning this is what you did back in … "
165,just throwing it out there for all the felons in nm if your case has been resolved you regain the right to vote… 
166,bad for warren time to go supertuesday 
167,joe biden worried in that certain desegregation policies would cause his children to grow up 'in a racial jun… 
168,guess i should have posted tits hindsight and all supertuesday bernie
169,"joe has surpassed bernie
supertuesday supertuesday "
170,bernie sanders right now watching the results come insupertuesday 
171,i hope you feel so amazing tonight congrats on putting yourself first supertuesday
172,juniors if you’re interested all forms to apply to be put on the ballot for march’s council election are in c… 
173,bernie is leading in texas supertuesday
174,ya know fck bloomberg he hasn’t paid his dues to be in this race he’s just a filthy rich guy trying to buy an el… 
175,what a furious comeback from michigan state espn supertuesday ncaab ncaabasketball bigten … 
176,"bernie is such a effing loser he cannot even beat a corrupt racist senile pedophile lmao
supertuesday… "
177,supertuesday go vote 
178,bloomberg probably just wasted half a billion dollars supertuesday supertuesdayresults
179,lol does bloomberg get a tax break for running a presidential campaign supertuesday 
180," you got the third place in your own state
did power really worth embarrassing yourself and stabbing the… "
181,if bernie bro’s don’t see how much better biden is than trump i’m sorry but that’s just ridiculous if you serious… 
182,"goodnight supertuesday 
try to have the votes counted by the time i awake"
183,bloomberg wins american samoa a bit like losing every big dollar bet in a vegas casino all night and then winning… 
184,who’s most progressive supertuesday supertuesday poll bernie biden warren bloomberg
185,"bernie bros right now 

supertuesday "
186, first time on a presidential ballot ever and americansamoa puts ahead of where… 
187,"follow 's supertuesday coverage 

the paywall is down until mar "
188,i saw van jones on cnn immediately switched to msnbc i cannot listen to a word out of mr “this is when he became p… 
189,the supertuesday watch party at honors hall has gotten big enough for two rooms about people are here spl… 
190, americansamoa can’t vote in presidential election in november meaningless delegates i hope they go… 
191, always a source of great insight into the bigger picture when he speaks it feels like he’s analyzing n… 
192,alexa play only the young by 🇺🇸✨ supertuesday 
193,supertuesday results coming in hot join us in for super tuesday discussion and all ot… 
194,btw msnbc steve kornacki & cnn john king my anxiety has plenty 👀 supertuesday supertuesday… 
195,if ever there were a race that tested head v heart it the democrat primary supertuesday
196,america was s the big winner today because the turnout looks phenomenal everyone who voted today is a rock star t… 
