,text
105,"sanders on maddow ""joe biden & i are friends"" if true then are his ""bros"" attacking biden on a daily basis btw… "
106, elizabeth warren is a fraud; was going nowhere until she started “checking the box” as a nat… 
107, and biden is a progressive with what would be the most progressive presidential platform in his… 
108,from the same campaign that has been going on nonstop about “all those problems with warren’s integrity” 
109, now y’all know damn well— khanna and warren shouldn’t be on this list 
110," i voted warren and i choose bernie over biden because calling people ""fat"" and ""lying dog faced p… "
111,"_ in the general rachel maddow show //

"
112,why i would vote sanders or warren over biden 
113, how many of us have to scream that we would go from warren to biden till yo… 
114,all these womens were stanning hillary in and they're stanning in elizabeth warren in americans really can not do anything right
115, warren is not some “system” wth is wrong with you people she should give up her dream of becoming pre… 
116, besides warren preemptively appointing a cabinet sounds like political trades for clout more than focusing on her ideals
117,_sushi only warren has the right to run
118," no but i can bet there is either a warren endorsement or a pinned kos tweet

no offense but just be… "
119,hands down elizabeth warren was the best dem party candidate 
120,catching up on rachel maddow did bernie just attempt to take half the credit for elizabeth warren’s cent wealth tax
121," oh and to clarify
switching from warren to bernie on primary electability grounds is different than… "
122, there was a decent amount of time that warren was in first and second
123, i will support him even if warren joins we need all the help we can get to combat biden's media narrative
124,if elizabeth warren drops out and endorses biden ima lose my shit
125, win with warren that's fantastic win what a set of bath towels 
126,"my voting life: 
' */kerry
‘ */obama
‘ obama
‘ kasich (to vote against trump)/clinton
‘ warren/ 

i know… "
127, sorry that was directed at the small person who wrote the backstabber commen… 
128,i voted for warren biden was my nd choice warren likely took more votes from biden than bernie 
129,twitter reacts to antidairy protesters at super tuesday campaign events 
130,the airing of grievances is underway as bernie bros declare war on elizabeth warren via icymi 
131, _ari and warren voters wanted substance all be… 
132,a narrative about bernie is the as vernon reid called it big papa vibe my impression for a long time now (as a l… 
133, we need a bernie sanders / warren coalition to take on biden
134,do you mean warren and the tribal chiefs are meeting in a deeper to decide ways to screw sanders 
135,it’s important to note that you should not judge a candidate by their worst most fucking insufferable online conti… 
136, would that apply to biden and warren as well
137, warren got hammered for staying neutral as long as she did this is a misrepresentation of truth t… 
138, yeah i agree those attacks on warren will not solve anything but the part that's hard to see online is the… 
139," in what way is warren a ""fake progressive"""
140,_ lol if i said this about warren it would be bernie bro bernie b… 
141, actually the sanders campaign has been pressuring warren to support th… 
142, biden/harris sanders/warren this would be a very tough decision
143, i know a lot of women who very much want to vote for a woman i cannot speak for all women or even fo… 
144, warren made the mistake of supporting sanders for too long she would have been so much better
145, so are you saying that elizabeth warren is equivalent to hilter i don’t understand c… 
146,warren reassesses path forward after dismal super tuesday 
147, wouldn’t make a difference why mi voters will never forget what biden has done for their state with… 
148,"also it's late so i guess warren's not dropping out today
gonna hold off up till next week 🙄🙄🙄"
149,elizabeth warren's white house run was in serious doubt after she finished a surprisingly weak third in super tuesd… 
150,"ingrahamangle they're actually trying to spin this as an organic groundswell for biden
it was carefully orchestrat… "
151,also why are these warren supporters directing a lot of their hate towards bernie hate biden he’s the mediocre wh… 
152, biden/warren works for me
153, warren was my but i didn’t see a path so after pete endorsed joe i thre… 
154, will this morning i announced i am going to support biden i still believe warren was the best choi… 
155, _jay only someone in a privileged position would consider warren a be… 
156,i want that warren back in congress 
157,this will likely piss some people off but at this point i would lose a little bit of respect for warren if she end… 
158,i hope everyone who is upset with warren not winning due to gender hops on board the train in 
159,weird picking who to vote for bernie is a socialist trump is insane and biden appears to have early symptoms o… 
160,bernie & trump are sides of the same coin with their own cults i have no doubt knows her rock solid… 
161,my mom said im becoming a “bernie bot” because i said its embarassing that warren pretended to be native and i hate… 
162,if warren endorses bernie we need to be kind and let them know we are in the same together we both have many of th… 
163, did you like warren's progressive policies or not
164, i'm not bernie or bust i would vote for warren or gabbard in addition to many of the candidates who h… 
165, or what if bernie threw his support behind warren
166, sanders campaign has never claimed she is not progressive eve… 
167," this is the poll i'm referring too maybe more passionate than ""worse"" but i do not see… "
168,it may just be me but if warren announces with sanders that she is his running mate after an endorsement it could be a swing
169,excellent critique from re a bad hours for warren perhaps h… 
170, elizabeth warren needs to stay in for this march debate and to pick up the pieces
171,yep i've been lookin hard but i've yet to see one nonchildish reason from warren supporters for switching to bide… 
172, thanks for keeping with the mainstream media and sidelining warren in favor of sanders yet again disgusti… 
173,i want single payer healthcare so bad and it's clear yall like being uninsured and sick because biden will not do t… 
174,note to berners: warren will not endorse bern dog
175, well that’s the problemno one knows who is making calls to buttigieg who inexplicably drops out d… 
176, playing against for a payday will she take bloombergs cash and sell out progres… 
177, the day i got my ballot in california i voted for warren she is the most competent candidate
178,_ghost_rat warren of course
179,_hope michigan might be the bigger prize especially for warren
180, i think bernie and warren will team up and this will have a better chance at beating trump and pus… 
181, i mean come on man this is not the way to get warren supporters to your side
182,if warren drops out i want her in the senate majority leader’s chair flipthesenate ditchmitch 
183, ridiculous to say that warren will not endorse biden unless he's the nominee her on… 
184,today in the weirdest takes i didn’t expect to see from bernie bros warren should have been nicer to bloomberg… 
185,warren supporters are at most % bernie as nd choice so even if she endorses bernie biden would still be ahead i… 
186,you know bernie is a harry potter to elizabeth warren's hermione granger
187, she did warren and klobachar from what i can recall
188, ku nan is one of them he is apparently miles ahead than warren buffett when it comes to growing wealth an… 
189, funny how when we asked bernie supporters years ago to do the same thing with hillary and they j… 
190, shaun king would lose his damn mind if biden or warren said this i mean he would go apoplectic
191,factual there are attributes about bernie i admire but he’d be far from the strongest intellect in the race at his… 
192, bingothis dude is at the early stages of dementiaso if he wins you get warren or bloomberglo… 
193, bernie is still leading the ticket so many of warren's support goes to biden this sounds desperate
194,this is me voted for warren but if she drops out i’ll be for biden practicality > everything 
195, sanders has the utmost respect for warren not sure if that respect is reciprocated which is really sad
196, i’ve been saving all these in my phone for the meme wars kudos to that absolute psycho who actually a… 
197, bernie should have dropped out after his heart attack and supported warren she would be the front runner now if that happened
198, again biden’s policies are way different from warren (and fyi your… 
199, nd the idea that voting for bernie is a vote for ma & voting for warren is a vote aga… 
200, … 
201, warren's won more and yet y'all go get your stories straight about who robbed your lor… 
202, your stupidity doesn’t speak for those who thought that klobuchar or mayor peter pan and th… 
203,i've realised that at this point bernie biden warren eric cartman i really i do not fucking care who i have to s… 
204, pete fucking buttigieg had a more comprehensive healthcare policy than joe biden if the primary wer… 
205,warren weighs her options endorsing sanders is probably no via 
206, again you expect sanders supporters to support that ticket when warren openly tried to throw sander… 
207, are you high i mean actually high because i know a shitton of warren voters and bern is the last person we'll vote for
208, thank you to speaking to my heavy heart after the diverse group of candidates we have two white me… 
209, it will not be warren if bernie is/was public enemy to all the big corporate/bank money behind biden w… 
210, i do not know if warren lost because she's a woman she did not appeal to me but i loved amy and kamala we wi… 
211,"
the note: eyes turn to warren and bloomberg as twoway race takes hold
"
212,if either elizabeth warren or bernie drop out and vice the others campaign i’ll leak my nudes
213, … 
214, yeah because people are treating warren the same way they are treating biden and sanders
215,if biden is the nominee perhaps the best thing warren sanders and steyer could do is go allin behind the most pr… 
216, the dnc systematically set up bernie to fail and he still endorsed clinton warren didn’t ruin the prima… 
217,“i am asking you to try to look past what pundits on cable news say what one asshole on twitter might have said on… 
218,i’ve been a bit angry on this website sometimes it feels like that’s what it’s for but i want to dig into why … 
219,"""top surrogates and allies of and are discussing ways for their two camps to unite and push… "
220,a great site visit at warren school today we saw learning happening in all kinds of spaces warrenwolverines… 
221, it’s a shame the modern equivalent of herbert warren wind and dan jenkins can’t just wave a magic wan… 
222, found what you are referencing about sanders t… 
223, there are two progressives and one moderate currently in the race i’m capable of basic math and it isn’… 
224, no that’s simply not true well over half of warren’s supporters now have biden as nd choice as a wa… 
225,the day we do not have to look at elizabeth warren's stupid forrest gump wave can not come soon enough
226,sanders rebuts warren's claims provides list of achievements via 
227, if bernie made her his vpwould she take itwould i go to over bernie over biden to stick with warren
228,she's my second choice to bernie sanders and if the two of them were to unite i believe they could win also ju… 
229,when elizabeth warren was making videos on facebook tearing trump apart during his campaign and early days in offic… 
230,i'm afraid sanders will not attract warren's devotees if she were to drop out and those devotees would rather follow… 
231,if warren drops out will the women who campaigned for her accept her [probable] endorsement of joe biden who's be… 
232,all warren posters are impossible to differentiate from parodies of warren posters 
233,if warren were to drop out no doubt she would endorse biden not a single suspended candidate has endorsed sander… 
234, i do not fantasize about being her first dude but that's because she seems too smart to put up wit… 
235,"warren staying in the race is definitely a hindrance to bernie
hypothetically if bernie were to pick warren as hi… "
236, joe be prepared for the upcoming debate this election is for you to lose all you need to… 
237," take a look at it if you wish

"
238,this was my dream ticket sanders/warren maybe it will happen this year🤞 regardless im going to… 
239,_gerry these vegans have disrupted warren and harris rallies too they're nuts
240, my working class family and friends in the midwest are passing out prayer cloths to… 
241,helpful for me to think about the bubbles i am in 
242, i am a huge warren fan when she gets out my support goes to joe
243, the counter argument is that polling indicates that warren voters will split pretty neat… 
244," 

yeah they kinda do delegates puts sanders back in the lead wa… "
245,a lot of supporters on here saying they prefer biden over bernie warren’s entire campaign was built on “b… 
246, this is wild to me i’m a bernie fanbut warren is my second her policies are closest to his why woul… 
247," yes but what happened to 
seriously 
she was one of my top picks
warren is super smart a… "
248, people decided that's it and everyone who changed and same day voted for biden did it cons… 
249, named after the guy warren who is big
250, me too i’ll vote blue no matter who but i i’d love it to be warren
251, sanders/warren ticket do not do in elizabeth pls do not do it do not make me regre… 
252,donald trumps tweet about was a thinly veiled use of people’s frustration with her to make people feel lik… 
253, was it warren
254, wornout warren was spotted early wednesday morning huddling with her campaign advisers eating bird seed
255,elizabeth warren gonna get primaried by that guy qanon thinks is jfk jr
256," i really wish warren was the candidate i voted for her 

and to be clear i really h… "
257,i think elizabeth warren should remain in the race until at least the next march debate to at least lend a littl… 
258, yesterday’s results were not ideal (i think bernie’s still very much viable) but it’s complicated: a mix… 
259,)the more i cool down from the past few days the more regret i have for being pretty unfair to elizabeth warren a… 
260,"i have mad respect for and i probably should bite my tongue but
warren for vp
did she not watch… "
261, was a warren supporter but voted biden in minnesota
262,"do not settle for a candidate wow i've seen so many warren supporters say ""she's not gonna win so i'm going to vote… "
263,night on behalf of biden biden it's almost winter & the devil coming for ya' you are in over your head trump &… 
264,drop out liz warren
265,worst debater w no plan(s) won against a strategic intelligent person w plan(s) warren would not only restore t… 
266,i'm not a bernie supporter a former hillary voter and warren supporter but if there's a choice between empty sui… 
267,why bernie sanders and elizabeth warren will win the presidency with rob via 
268, bernie needs to shake up the narrative and announce warren as his vp in a day or two… 
269, in my humble opinion just ignore the warren stuff (and hope whatever the campaign does it will help… 
270," gore/gore (i was young)
 dean/kerry 
 clinton/obama
 obama
 sanders/clinton (i… "
271, me i voted warren and i’d do it again
272, then she will she has never been able to stand up to them and do what’s right warren 🤮
273, the warren supporters why does that matter
274,🗣 i did vote 🗳 for warren yesterday in super tuesday i’m proud i did i voted for the best candidate but now it’s… 
275, voting for elizabeth warren because she's a woman is the same white feminism that clinton bots had back i… 
276, warren —> biden for me
277,the bloombergphenomenon: st he wasn‘t allowed to participate in the debates in the republicans didn‘t have… 
278, i already voted for warren in az (primary /) at this point i’ll just vote for whomever is on th… 
279,"tweets from warren supporters are like pure distilled black pill

yasss queennnn support the segregationist creepy… "
280, “sure i’d vote for a woman just not hillary but i’d totally vote for elizabeth warre… 
281,warren shouldn’t make any moves until tulsi drops out if she stays in warren should stay don’t let the russian a… 
282, i was born in warren
283,oy now lawrence is doing a bernie propaganda showit's just impossible to watch msnbc as long as bernie/warren a… 
284, maddow nice interview but why did not you ask him about how he plans to pay for mfa i want to hear him g… 
285," i disagreed with you about uygur though uygur said no sanders accepted that

joss whedon is not o… "
286, warren is the president we need sanders is the president we deserve
287, sanders is the only candidate that can be trusted to actually change the us for the better joe biden h… 
288, numbers are wrong (a bit surprising from you) but more fundamentally many voters even far left progres… 
289, if warren drops out before the fl primary i will immediately make my new home among the bernie bro… 
290," hi warren i was wondering if

 🥺
 |
 👉🏽👈🏽
 |
 |… "
291, yeah it’s a real shame warren doesn’t exist
292,"elizabeth warren now has an unfavorability rating worse than coronavirus 

pocahontas is an utter fraud"
293, i do hope so either warren or harris will do fine
294, @_chelseachelsea anger is fair and justified but casting judgement on people because they didn’t vote… 
295,hey why wont we like elizabeth warren she seems alright
296," no either guy needs a younger veep

klobuchar harris castro budiegieg

warren should stay in for… "
297,my sister a wouldbe warren supporter and ny voter has posted to facebook today that warren no longer has a path… 
298,warren still is the best to lead this country shame on all who didn’t vote for her in the primary now we are face… 
299,many warren voters also want to beat trump bernie can’t 
300, wait why must i take responsibility 😂😂 i haven’t been rude to you a… 
301," my voting life:
gore '
kerry '
obama '
obama '
hillary '
warren (april th caucus… "
302, if warren endorses sanders tomorrow and she’s been in the senate and a member of the dem pty she’s not the… 
303, also it's worth noting that warren acted as a much bigger spoiler for sanders t… 
304, 💯💯💯 i am teamwarren hands down but if she exits i definitely won’t go with bernie i will go wi… 
305,"elizabeth warren 
d r o p o u t"
