2020-03-04 01:28:33,Oh em gee @FoxNews @BretBaier @marthamaccallum .. #supertuesday2020 ... WHY IS Brazile on tonight??? You are beneath contempt...,"Red State, USA",
2020-03-04 01:28:31,"American Samoans. Great at making cookies, terrible at picking candidates. #supertuesday2020",United States,
2020-03-04 01:28:30,Lord of light I can’t with this. #supertuesday2020,"Philadelphia, PA",
2020-03-04 01:28:30,Honestly what is going to make or break Sanders post #supertuesday2020 is what is the money situation going to look… https://t.co/bqT2YvcdFr,"New Jersey, USA",
2020-03-04 01:28:29,"Warren can't throw Bernie delegates if she doesn't have any. Just a thought.

#supertuesday2020","Catskills, NY",
2020-03-04 01:28:28,"Bloomberg is 2nd in Texas, Bernie 1st.

WTF Texas???

#supertuesday2020","Houston, TX",
2020-03-04 01:28:28,"@MikeBloomberg Bloomberg WINS American Samoa

49.9 percent vote, or 175 votes. Rep. Tulsi Gabbard, D-Hawaii, who wa… https://t.co/YybZ2MqBmX","West Palm Beach, FL",
2020-03-04 01:28:22,#shoutout to my #supertuesday2020 voters @carohartharris @AnnyAwesome and @shannafromla #Primary2020 #IVoted ✅ https://t.co/kM0s90EX2t,Michigan,
2020-03-04 01:28:21,"I understand we all have different lived experiences which may lead us to different choices in the ballot box, but… https://t.co/PPhPHyrUjT",Pittsburgh area,
2020-03-04 01:28:21,We've got your St. Cloud-area #MinnesotaPrimary #supertuesday2020 results here. https://t.co/AaLB8h70UB,Minnesota,
2020-03-04 01:28:19,"#supertuesday2020 

Reminder to voters in the mid-section and Western swing states.  

💥🔥If you are in line, stay i… https://t.co/Xrn5wFPeQc","North Carolina, USA",
2020-03-04 01:28:17,Imagine being so rich you spent $500 million to win American Samoa. #supertuesday2020 #Bloomberg,"Flint, MI",
2020-03-04 01:28:16,You know @bdawn @ I are ready to #TurnTexasBlue! Check out this @erichanke video if you need some entertainment in… https://t.co/yvkfQxaUtG,"Austin, TX",
2020-03-04 01:28:16,Serious question: what happened to all of the younger voters? #supertuesday2020,New York/Los Angeles ,
2020-03-04 01:28:16,Ron Swanson voted for @ewarren .. do you need to be convinced any further? #VoteWarren #supertuesday2020 https://t.co/ZIg4IA2tk0,"Washington, DC",
2020-03-04 01:28:13,.@MikeBloomberg time for you to drop out of the race. Endorse @JoeBiden #SuperTuesday #supertuesday2020 #Biden2020,USA,
2020-03-04 01:28:12,Why in the world is Gabbard still in this? #SuperTuesday2020,USA,
2020-03-04 01:28:08,"#SleepyJoe #supertuesday2020 #supertuesday : Biden takes Alabama, North Carolina and Virginia - and the delegate le… https://t.co/YIjLUO0syV",,
2020-03-04 01:28:08,"Trump 2020, I don’t care what you think. #supertuesday2020","San Diego, CA",
2020-03-04 01:28:06,Why is Tulsi Gabbard still in this race? #supertuesday2020,,
2020-03-04 01:28:05,#supertuesday2020 let's go Bernie! Pls everyone please.... https://t.co/uIAE0MTLb9,"Laguna Beach, CA",
2020-03-04 01:28:05,"-North Carolina Democratic Primary- 

✅Biden - 30.2%
Sanders - 23.9%
Bloomberg - 17.7%
Warren - 11.7%

30% of preci… https://t.co/vXGo39xhEK",,
2020-03-04 01:28:03,"I’m at work and my lovely man is updating me, but tell me, how exactly are things going???????? #supertuesday2020",,
2020-03-04 01:28:02,"#supertuesday2020 #SuperTuesdayResults 

Me watching the results: https://t.co/KeGZCOA8hb",,
2020-03-04 01:28:00,"How is #ElizabethWarren2020 losing in her own state.. Jesus!!! Smh 

#SuperTuesday #supertuesday2020",,
2020-03-04 01:27:59,#Bernie does better with younger voters and #Biden better with older voters.  The older voters came out more than t… https://t.co/WZerc6wV5d,"Manhattan, NY",
2020-03-04 01:27:59,"Stay in line guys... PLEASE
This is the fight of our lives. 
#supertuesday2020 https://t.co/9JBWvi9gCF","Newnan, GA",
2020-03-04 01:27:58,"TEXAS #LATINXForBERNIE 

 #NotMeUs 

#BernieInVT  #BernieSandersWithTheseHands

#BernieSanders2020 #Bernie2020… https://t.co/Qr0U4DJ0Lz","Russian Tea Room, Manhattan ",
2020-03-04 01:27:56,"Bloomberg is to Biden, what Warren is to Sanders #supertuesday2020","New York, NY",
2020-03-04 01:27:54,"South Carolina. Going down in history. 
#supertuesday2020",United States,
2020-03-04 01:27:54,Wait. You mean Biden is ahead in the places that Democrats need to win to get back the presidency? You don’t say ..… https://t.co/5WXpCqfQqK,"Washington, DC",
2020-03-04 01:27:52,The places Biden is winning always vote red. It doesn’t matter due to electoral college. Let’s see what happens in… https://t.co/29js4LTAwB,"Murray Hill, FL",
2020-03-04 01:27:51,@agilitypupster @karisnorth So the 8th grader is working on algebra and updating her whiteboard with delegates in r… https://t.co/m68mweJeY6,,
2020-03-04 01:27:50,"Sexism is a helluva drug

#SuperTuesday2020","Boogie Down Bronx, NY",
2020-03-04 01:27:49,"Psst... Moderate or Centrist Democrats are Republicans

Pass it on

#supertuesday2020","Lee's Summit, MO",
2020-03-04 01:27:49,How is it that @CNN reports #Tennessee without mentioning how many people could note vote because of #tornadoes ? #supertuesday2020,Washington/Northern VA,
2020-03-04 01:27:48,"If Biden wins Massachusetts, that would be so embarrassing for Sanders and Warren. #SuperTuesdsy #supertuesday2020… https://t.co/8x5gDw5cmO",Worldwide,
2020-03-04 01:27:48,"Although... 
Is Sanders going to take Texas? 
#supertuesday2020",UK,
2020-03-04 01:27:48,The coverage of the delegates tonight on NBC is completely biased toward Joe Biden. Nothing but talking about Sande… https://t.co/lZacLv77Bi,,
2020-03-04 01:27:47,@CNN and @JohnKingCNN can we use different colors on the map? 3 different shades of blue to distinguish between can… https://t.co/AxrAWlzjCP,"Washington, DC",
2020-03-04 01:27:46,"Bloomberg wins something. Out of interest, what's the going rate for American Samoa these days? #supertuesday2020 https://t.co/h0loezmcsg",Music.Mente.Minim. feral. ,
2020-03-04 01:27:45,Big winner tonight. Conservative hack @ewarren. She did what she was ordered to do. Take delegates away from… https://t.co/6EQDSZHBwU,,
2020-03-04 01:27:44,"Tulsi Gabbard playing the long game lmfao, if Warren and Bloomberg dropped out the next debate would be Biden, Bern… https://t.co/GeSkVaTKNW",In Canada,
2020-03-04 01:27:43,"I'm on the same ballot as @BernieSanders this is a win all by itself.

#supertuesday2020 #Bernie2020 #WithTheseHands https://t.co/fD7N8DqBVa","Riverside County, CA",
2020-03-04 01:27:41,@SecularMomNC @MotherJones @ewarren Wondering where all my @ewarren fans are? Seems pretty quiet. Wondering if you… https://t.co/5nDtSwVZli,Melmack,
2020-03-04 01:27:40,"And in all honesty? The rich folks from the suburbs will probably be just fine under four more years of Trump, so l… https://t.co/Rd514rWejK",Somewhere on the outer planes?,
2020-03-04 01:27:38,Could Bernie actually win Tennessee and Oklahoma because Bloomberg siphoned enough from Biden? #supertuesday2020,"Chicago, IL",
2020-03-04 01:27:37,The USA is in desperate need of a third party. #supertuesday2020,Between Forefinger and Thumb,
2020-03-04 01:27:36,It’s pretty on the nose that  #supertuesday was created by Southern states so they could elect a moderate over Jess… https://t.co/Xu7lVyPPAO,,
2020-03-04 01:27:34,"I say we all join hands, light candles, and prepare for the onslaught of Berners yelling about the DNC “cheating” a… https://t.co/ZXDuT0Hsmk",United States,
2020-03-04 01:27:34,So instead they get what always preach against “Some Old Rich White Guy.                                 Again… https://t.co/P57Gz8gKw5, ,
2020-03-04 01:27:30,This is the ROI on the millions that @MikeBloomberg spent in #Virginia https://t.co/JZE5h4KXT7 #supertuesday2020 https://t.co/9zGOyLEf3a,"Richmond, VA",
2020-03-04 01:27:24,"Dear @BetoORourke, I thought you were cool! Not supporting @BernieSanders was so NOT punk rock #supertuesday2020",Chicago,
2020-03-04 01:27:23,"***Super Tuesday Livewire***

Comeback Kid: Biden Wins Virginia

Joe Takes Delegate Lead?

Vermont Berns

***LIVE U… https://t.co/LHtUd4jJfm",HIDDEN BUNKER,
2020-03-04 01:27:22,"@TeamPelosi STAY IN LINE. By #Beto #BetoORourke 

https://t.co/UqqKf7p4NA    

For #BidenForPresident #Biden2020… https://t.co/0RyTRldOzp","New York City, NY",
2020-03-04 01:27:21,"10 yr old son: Who would make a better President- Odie or Garfield?

Me: Odie doesn't talk.

10YO: But he turned th… https://t.co/OsyXndXVVZ",,
2020-03-04 01:27:21,Older Gen X and Baby Boomer Black voters are so disappointing #oldniccas #supertuesday2020,,
2020-03-04 01:27:20,Is the hashtag #JoeMentum trending yet? It should be! #SuperTuesday #SuperTuesdayResults #supertuesday2020,,
2020-03-04 01:27:20,If you didn’t vote. Yo moms a hoe 🤷🏻‍♀️ #IVoted #SuperTuesday #supertuesday2020 https://t.co/UyWEUc98QP,United States,
2020-03-04 01:27:19,Am I the only one who thinks the American Samoa voting for Tulsi to make her eligible for the next debate is a big… https://t.co/GD4GgS4CP9,"New York, NY",
2020-03-04 01:27:13,The latest. #supertuesday2020 https://t.co/nkgqVpCxak,"Maine, USA",
2020-03-04 01:27:10,Warren splitting the progressive vote after like half of the moderates dropped out to give Biden more votes is just… https://t.co/lH57LGyM36,Bad man place.,
2020-03-04 01:27:08,"@FOXTV just don’t care... 
🇺🇸 🗳 🤷🏼‍♂️ 😂 
#supertuesday2020 https://t.co/GYddajus8g",Saint Louis,
2020-03-04 01:27:06,what the fuck is going on? #supertuesday2020,,
2020-03-04 01:27:06,So people are telling reporters in the field that they were waiting to see what happenned in South Carolina? GTFOH… https://t.co/U3wscsZeZL,,
2020-03-04 01:27:04,"@Peoples_Pundit HAHAHAHAHA! I LOVE IT! 
#Pocahontas crash &amp; burn in #Massachusetts 
3rd place, maybe, finally with… https://t.co/3BsLsVSYHg",Hoboken,
2020-03-04 01:27:03,"I am concerned that if Biden runs away with this, my anxiety will keep me home from work tomorrow.

And by ""anxiety… https://t.co/Db2ueiSaWX","Horseheads, NY",
2020-03-04 01:27:02,"Let’s not forget that winning a state is only half the picture

Did you win every demographic in that state and is… https://t.co/C1RFEeLgcf","Washington, DC",
2020-03-04 01:27:02,TEXAS. DON'T LET ME DOWN NOW. #supertuesday2020,"Austin, TX",
2020-03-04 01:26:58,Here’s where I stand. If Biden becomes the nominee I would support him 100% because my 86% in common with Biden tru… https://t.co/aPqE2WHqC0,,
2020-03-04 01:26:58,This would be devastating to Biden’s chances to win Texas #supertuesday2020 https://t.co/TfczfpFbWH,New York City,
2020-03-04 01:26:57,Can't wait to see the financial analysis in the next day or two on how much $$$ Bloomberg spent per delegate vs. Tu… https://t.co/6TC9H9StGq,Massachusetts ,
2020-03-04 01:26:53,"Bloomberg isnt helpful. If he doesn't get out tomorrow, he is mini from here on out. 
#supertuesday2020",The Mitten,
2020-03-04 01:26:53,Being rich doesn’t win you an election. Another win for Trump #supertuesday2020,United States,
2020-03-04 01:26:52,Despite the division in America. It's seems like showing Americans a lot of ads can't make people vote for you. Bil… https://t.co/wYV2ghN1jy,,
2020-03-04 01:26:49,Looks like the reports of Joe Biden’s political death were greatly exaggerated #supertuesday2020,"New York, NY",
2020-03-04 01:26:49,Hey @CASOSvote @CA_Dem @CountyofLA — this needs to be better here and everywhere. And absolutely by November.… https://t.co/e8QGoDONGl,Los Angeles,
2020-03-04 01:26:48,"Hey, @CNNPolitics can we not use different shades of blue for all the candidates? Sincerely, those of us who don’t… https://t.co/ez5FntGCpj","Gainesville, FL",
2020-03-04 01:26:48,"TOO CLOSE TO CALL!

Real votes #MassachusettsPrimary:
@JoeBiden 34.2%
@BernieSanders 25.6%
@ewarren 24.5%… https://t.co/5KC1ZZeQPC",Roma,
2020-03-04 01:26:47,"Watch the election results come in for Stearns, Benton and Sherburne counties with us here: https://t.co/2atLq4Q7cb… https://t.co/kLta9Ypftj","St. Cloud, Minnesota",
2020-03-04 01:26:45,This will be Biden’s rally speech tonight. #supertuesday2020 https://t.co/ldjCxxvzxG,"Woodbridge, VA",
2020-03-04 01:26:44,"Michael Bloomberg projected to win the American Samoa primary. 
That's $33M per delegate. 
#SuperTuesday… https://t.co/0Dl99YyOn6","New Jersey, USA",
2020-03-04 01:26:43,Biden VERY close to not hitting 15% in TX!!! #supertuesday2020 #SuperTuesday,,
2020-03-04 01:26:40,"Donald Trump Vince le primarie repubblicane in Vermont, North Carolina, Oklahoma, Massachusetts e Tennessee #supertuesday2020 #USA2020","New York
",
2020-03-04 01:26:38,So since #supertuesday2020 is about deciding between morally acceptable healthcare or Joe Biden I just learned my i… https://t.co/RV2rhU1PEf,"Boston, MA",
2020-03-04 01:26:36,"At #BernieSanders Barnstorm!

Let's go!

#SuperTuesday #supertuesday2020 https://t.co/2RTHHN0i1V","Priced out of the East Bay, 19",
2020-03-04 01:26:34,@paulflahive #supertuesday2020 starting off right.,"San Antonio, TX",
2020-03-04 01:26:34,Watching Mannequin #supertuesday2020 https://t.co/gf1eB36AkW,"New York, NY",
2020-03-04 01:26:34,"Looks like we’re still in the bad place, folks. #SuperTuesday #SuperTuesday2020 #SuperTuesdayResults https://t.co/CeYKkaIiVd","Green Bay, WI",
2020-03-04 01:26:33,Donna Brazille #supertuesday2020 #supertuesday #Ursula https://t.co/swot7ICmzG,,
2020-03-04 01:26:33,Almost didn’t vote bc of the   inconvenience in my area smh keep it at school gyms ! Not a busy ass street with no… https://t.co/MSnAPlyzt4,"Oakland, CA",
2020-03-04 01:26:31,"If you are line when the polls close STAY IN LINE. If you are in line, you can vote.
#DemCast #SuperTuesday2020 https://t.co/hnXwOJHT9W",#GeeksResist HQ,
2020-03-04 01:26:24,FOR THE LOVE OF GOD STOP VOTING FOR CANDIDATES WHO DROPPED OUT #supertuesday2020 #Vote2020,,
2020-03-04 01:26:23,Some #BernieSanders supporters don’t know what they’re voting for #Bernie2020 #Sanders #BernieWon #MedicareForAll… https://t.co/3Oitlxmh0c,,
2020-03-04 01:26:21,jesus did the Texas results come in heavy for #Bernie2020? #supertuesday2020,,
2020-03-04 01:26:18,Hey @shaunking - Black voters don’t like @BernieSanders - that’s all. #supertuesday2020 https://t.co/0mUjexXy4e,,
2020-03-04 01:26:18,"STAY IN LINE
#Bernie2020 #VoteForBernie 
#SuperTuesday2020",REGISTER TO VOTE FOR BERNIE,
2020-03-04 01:26:18,"The establishment is on full force today. They do not believe in fundamental change, they support incremental chang… https://t.co/L2vUPpKRuU","Birmingham, AL",
2020-03-04 01:26:13,"Since I live in Connecticut, my Tuesday wasn’t super, just average. Even though my (slightly) favorite candidate le… https://t.co/VO5OBnIsf2",Connecticut,
2020-03-04 01:26:11,Thankfully no fatalities in the fight for this endorsement #supertuesday2020 https://t.co/VEoZUWerap,,
2020-03-04 01:26:11,"Tennessee had such a devastating 24 hours

Should get redo voting day

#supertuesday2020 
#JoeBidenForPresident2020",NYC & A Theater Near You,
2020-03-04 01:26:08,Who the hell is out there voting for Bloomberg? #supertuesday2020,"Denton, TX",
